,personal·pre,halfpersonal·pre,nonpersonal·pre,personal·post,halfpersonal·post,nonpersonal·post,probe-log·post,probe-inline·post,switch-user·before,switch-task·before,discontinue·before,switch-user·mid,switch-task·mid,discontinue·mid
personal·pre,1.0,0.6416878254455061,0.3315925580318592,,,-0.028031826044025827,,0.1454384303823456,0.184777483333302,0.05893700569717164,0.02450004555872793,,-0.03652408611592476,-0.03652345409650742
halfpersonal·pre,0.6416878254455061,1.0,0.4976972595729985,,,-0.04361631668186497,,0.21988459379952335,0.07899673890403457,0.026118713884331197,0.010557910170173868,,-0.05682990840646264,-0.05682892501140972
nonpersonal·pre,0.3315925580318592,0.4976972595729985,1.0,,,-0.08941559007409032,,0.08220920326714427,0.04364631751441391,0.26526438639965044,0.21993389091283752,,-0.08941559007409032,-0.011796072716795454
personal·post,,,,,,,,,,,,,,
halfpersonal·post,,,,,,,,,,,,,,
nonpersonal·post,-0.028031826044025827,-0.04361631668186497,-0.08941559007409032,,,1.0,,0.1896038792027878,-0.043615767506683396,0.04918172371789066,0.018492505512262267,,-0.03652305195195157,-0.03652241995042958
probe-log·post,,,,,,,,,,,,,,
probe-inline·post,0.1454384303823456,0.21988459379952335,0.08220920326714427,,,0.1896038792027878,,1.0,0.14837437243855192,0.08036031376938042,-0.03668616640450706,,-0.15385125626001955,-0.010072797993772272
switch-user·before,0.184777483333302,0.07899673890403457,0.04364631751441391,,,-0.043615767506683396,,0.14837437243855192,1.0,0.5712797844599427,0.5169162125102873,,0.4987093791975376,0.8498252811298339
switch-task·before,0.05893700569717164,0.026118713884331197,0.26526438639965044,,,0.04918172371789066,,0.08036031376938042,0.5712797844599427,1.0,0.8616184691908824,,0.26049540552853795,0.4822953657567236
discontinue·before,0.02450004555872793,0.010557910170173868,0.21993389091283752,,,0.018492505512262267,,-0.03668616640450706,0.5169162125102873,0.8616184691908824,1.0,,0.23047172600266208,0.4519294231262113
switch-user·mid,,,,,,,,,,,,,,
switch-task·mid,-0.03652408611592476,-0.05682990840646264,-0.08941559007409032,,,-0.03652305195195157,,-0.15385125626001955,0.4987093791975376,0.26049540552853795,0.23047172600266208,,1.0,0.5921196076264188
discontinue·mid,-0.03652345409650742,-0.05682892501140972,-0.011796072716795454,,,-0.03652241995042958,,-0.010072797993772272,0.8498252811298339,0.4822953657567236,0.4519294231262113,,0.5921196076264188,1.0
