,personal·pre,halfpersonal·pre,nonpersonal·pre,personal·post,halfpersonal·post,nonpersonal·post,probe-log·post,probe-inline·post,switch-user·before,switch-task·before,discontinue·before,switch-user·mid,switch-task·mid,discontinue·mid
personal·pre,1.0,0.7370659916612783,0.6662575837041133,0.5666471074286215,0.5796333543780097,0.53840547980834,0.3724094268035318,0.5562448451133506,0.3722699984158603,0.33893962766458996,0.3238941686736178,0.32440838487005874,0.37210109594398977,0.3881701845080934
halfpersonal·pre,0.7370659916612783,1.0,0.9047935881593974,0.7491340430326895,0.7795956015936552,0.7317047238068078,0.42086701838329005,0.5863010677612945,0.6363596168680341,0.6386970139023632,0.6302057825038675,0.5968335441757936,0.5939759804440071,0.632395777317893
nonpersonal·pre,0.6662575837041133,0.9047935881593974,1.0,0.6915655506769414,0.7108580969777943,0.6819228382489696,0.395700599178484,0.49808478351293917,0.5566543444140211,0.5747708238785924,0.5675344861935412,0.5402554410278052,0.5257849212864397,0.5570813352438604
personal·post,0.5666471074286215,0.7491340430326895,0.6915655506769414,1.0,0.9581898830990632,0.9283396309281089,0.4811317370829712,0.6934047518616593,0.6924326795574597,0.7139885352271611,0.7269599203458477,0.6473517546260557,0.6535938152210682,0.7047512301639766
halfpersonal·post,0.5796333543780097,0.7795956015936552,0.7108580969777943,0.9581898830990632,1.0,0.9520048749066072,0.5030695362542513,0.6911072666873185,0.6986882173469854,0.7352581984322433,0.7517034313297839,0.6327500276654933,0.6323529912971854,0.6919740700837743
nonpersonal·post,0.53840547980834,0.7317047238068078,0.6819228382489696,0.9283396309281089,0.9520048749066072,1.0,0.5330461125867129,0.6530442690170322,0.7154965015980103,0.7227338224836501,0.7165865853377248,0.6701140969539089,0.6676336732694931,0.683579325944873
probe-log·post,0.3724094268035318,0.42086701838329005,0.395700599178484,0.4811317370829712,0.5030695362542513,0.5330461125867129,1.0,0.5690463472831528,0.4240354601528022,0.40244964727076926,0.4049270198141611,0.4072126525789463,0.4037958946369579,0.4464696150762125
probe-inline·post,0.5562448451133506,0.5863010677612945,0.49808478351293917,0.6934047518616593,0.6911072666873185,0.6530442690170322,0.5690463472831528,1.0,0.48310147929578634,0.46707454325656234,0.42825368127304475,0.4564951141305282,0.4265239421393116,0.45748570027330693
switch-user·before,0.3722699984158603,0.6363596168680341,0.5566543444140211,0.6924326795574597,0.6986882173469854,0.7154965015980103,0.4240354601528022,0.48310147929578634,1.0,0.9175559087884941,0.8286575948713002,0.8535049128687604,0.8975119560875119,0.8917889033417452
switch-task·before,0.33893962766458996,0.6386970139023632,0.5747708238785924,0.7139885352271611,0.7352581984322433,0.7227338224836501,0.40244964727076926,0.46707454325656234,0.9175559087884941,1.0,0.9262617095771422,0.7715766495585782,0.8136099489767037,0.8348940088201559
discontinue·before,0.3238941686736178,0.6302057825038675,0.5675344861935412,0.7269599203458477,0.7517034313297839,0.7165865853377248,0.4049270198141611,0.42825368127304475,0.8286575948713002,0.9262617095771422,1.0,0.7273179592425769,0.7485776773401772,0.8014173995353673
switch-user·mid,0.32440838487005874,0.5968335441757936,0.5402554410278052,0.6473517546260557,0.6327500276654933,0.6701140969539089,0.4072126525789463,0.4564951141305282,0.8535049128687604,0.7715766495585782,0.7273179592425769,1.0,0.9056702872754929,0.9125948936230341
switch-task·mid,0.37210109594398977,0.5939759804440071,0.5257849212864397,0.6535938152210682,0.6323529912971854,0.6676336732694931,0.4037958946369579,0.4265239421393116,0.8975119560875119,0.8136099489767037,0.7485776773401772,0.9056702872754929,1.0,0.9305085295813338
discontinue·mid,0.3881701845080934,0.632395777317893,0.5570813352438604,0.7047512301639766,0.6919740700837743,0.683579325944873,0.4464696150762125,0.45748570027330693,0.8917889033417452,0.8348940088201559,0.8014173995353673,0.9125948936230341,0.9305085295813338,1.0
